id;country_id;country_name;country_english_name;country_full_name;country_english_full_name;country_iso_code;nationality;english_nationality;is_active;sort_order
1;85721;Stravenue Usability;Hill extend wireless;integrate Small Personal;Uganda;Tasty payment;Soft Savings open-source;Plastic deposit;89741;12968
2;81488;Garden Cotton explicit;alarm Gorgeous Credit;quantifying;Enterprise-wide;Officer maximized indexing;Rubber;cross-platform Handcrafted;33805;51496
3;90938;Senegal;invoice;fuchsia robust infomediaries;Mississippi Connecticut;Way Computers;backing Iceland;Sleek Jersey Solomon;78191;52381
4;70921;markets;Internal program wireless;Cambridgeshire hack deposit;Director Versatile;Guatemala;Steel Rustic;Focused;12569;83204
5;99517;Fantastic supply-chains;Union plug-and-play online;program;withdrawal Decentralized;Sausages;Bedfordshire Usability;Louisiana National array;17220;20633
6;5515;Cotton;attitude;application Virginia;encryption;Oregon Unbranded;hierarchy copying;core;82922;16894
7;34282;architect salmon architectures;capability Towels;Mission web-enabled;Liaison magenta Mobility;Strategist;Licensed quantify web-enabled;Oklahoma web-enabled;33478;62615
8;36673;Tuna Thailand;sensor projection productize;Checking;hack;bifurcated convergence;RSS Kids;niches Landing Niger;7613;70092
9;96224;Ports;Shoes Gorgeous expedite;communities 24/365;Vista Accountability;invoice;Avon;Dakota;22979;44752
10;29961;overriding bluetooth;Customer Robust;navigate Euro Kuna;Fresh Plastic connecting;Table Gorgeous;Functionality COM Orchestrator;Plastic redundant synergistic;65750;98280
